"Timestamp","Enter a sentence","0 - dont dad joke
1 - dad joke is ok"
"2022/10/29 6:02:53 PM GMT+5:30","man im absolutely done with life i want to end it all","0"
"2022/10/29 6:03:21 PM GMT+5:30","honestly im not even mad im amused","1"
"2022/10/29 6:03:37 PM GMT+5:30","im soo pissed off at life","0"
"2022/10/29 6:03:57 PM GMT+5:30","lol im happy you liked it","1"
"2022/10/29 6:04:08 PM GMT+5:30","im eating lunch","1"
"2022/10/29 6:04:17 PM GMT+5:30","im playing genshin","1"
"2022/10/29 6:04:31 PM GMT+5:30","im doing dailies, want to join me?","1"
"2022/10/29 6:04:50 PM GMT+5:30","my parents are causing problems again","0"
"2022/10/29 6:05:16 PM GMT+5:30","im pulling for layla","1"
"2022/10/29 6:05:43 PM GMT+5:30","im starting to think i should be an aethist","0"
"2022/10/29 6:05:56 PM GMT+5:30","im gonna kill someone tonight","0"
"2022/10/29 6:06:09 PM GMT+5:30","im going to commit arson at college","1"
"2022/10/29 6:06:30 PM GMT+5:30","im kinda confused but i get the idea","1"
"2022/10/29 6:06:41 PM GMT+5:30","im too bored to care","1"
"2022/10/29 6:06:57 PM GMT+5:30","that is because im stupid lol","1"
"2022/10/29 6:09:39 PM GMT+5:30","im telling you no just see what is going to happen","1"
"2022/10/29 6:11:21 PM GMT+5:30","im not feeling very good","0"
"2022/10/29 6:11:37 PM GMT+5:30","im absolutely creeped out by creepy men","0"
"2022/10/29 6:11:50 PM GMT+5:30","im afraid of people finding out","0"
"2022/10/29 6:12:07 PM GMT+5:30","im scared of what is going to happen to my future","0"
"2022/10/29 6:12:20 PM GMT+5:30","im constantly in fear","0"
"2022/10/29 6:13:00 PM GMT+5:30","i think im being stalked","0"
"2022/10/29 6:13:14 PM GMT+5:30","wheeze im laughing","1"
"2022/10/29 6:13:25 PM GMT+5:30","hi zofia im sleepy","1"
"2022/10/29 6:13:35 PM GMT+5:30","hi sleepo im zofia","1"
"2022/10/29 6:13:50 PM GMT+5:30","im ok with all of this stuff","1"
"2022/10/29 6:14:10 PM GMT+5:30","see, as long as you know when to stop im ok with it","0"
"2022/10/29 6:17:02 PM GMT+5:30","im finally back home","1"
"2022/10/29 6:17:12 PM GMT+5:30","im confused","1"
"2022/10/29 6:17:33 PM GMT+5:30","im thankful saki gf is not here to see this cringe","1"
"2022/10/29 6:17:54 PM GMT+5:30","im doing cringe stuff like talking to my own bot","1"
"2022/10/29 6:18:35 PM GMT+5:30","im standing right here","1"
"2022/10/29 6:18:49 PM GMT+5:30","im never gonna give you up","1"
"2022/10/29 6:19:01 PM GMT+5:30","i am the great lord xafardian","1"
"2022/10/29 6:19:12 PM GMT+5:30","im feeling amazing","1"
"2022/10/29 6:19:27 PM GMT+5:30","i am unstoppable","1"
"2022/10/29 6:19:41 PM GMT+5:30","i am immune to your pointless acts","1"
"2022/10/29 6:20:27 PM GMT+5:30","im trying to send it give me a second","1"
"2022/10/29 6:27:13 PM GMT+5:30","ok im trying something stupid","1"
"2022/10/29 6:27:43 PM GMT+5:30","Im right here you know?","1"
"2022/10/29 6:28:36 PM GMT+5:30","CUZ IM A PRIMADONNA GIRL","1"
"2022/10/29 6:29:34 PM GMT+5:30","I'm want pasta too","1"
"2022/10/29 6:31:09 PM GMT+5:30"," just here playing rocket leauge on my tab lm Dad!","1"
